,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,Chances-Jill Barber.mp3,relax,66.25600962,78562,1227.53125,0.307315382,0.30134367,0.090808008,0.353651097,0.297036651,0.088230772,0.216105341,0.191394396,0.036631815,15.31716055,116.0967028,13478.44439,1.641481932,55.31514399,3059.765154,0.007328187,3.471373483,12.05043386,0.234704182,0.101152711,0.01023187,1101.730894,727.6427255,529463.9359,1564.91904,494.5612553,244590.8352,24.90874265,11.81209727,139.5256418,2010.967007,1574.974217,2480543.783,2.021811901,2.463506,6.068861812,0.022115619,0.107876409,0.01163732,0.042909982,0.043735024,0.001912752,-4.47E-06,0.232470229,0.05404241,-0.000120768,0.063078903,0.003978948,2.205895692,1.37778688,1.898296687
2,Ariana Grande、Jessie J、Nicki Minaj - Bang Bang.mp3,happy,151.9990809,187790,1286.232877,0.371282628,0.313925017,0.098548916,0.442870624,0.296566379,0.087951617,0.248766015,0.146454099,0.021448803,9.510394586,59.76263321,3571.572329,-0.625206827,34.97965372,1223.576174,0.008479856,3.853162468,14.84686101,0.199368402,0.084998414,0.00722473,2927.606481,810.1673244,656371.0935,2629.034721,425.6822353,181205.3654,19.92614402,7.307468575,53.39909697,5933.484954,1555.18963,2418614.786,2.632951244,3.411260343,11.63669713,0.016868114,0.089553797,0.008019883,0.143821693,0.074406385,0.00553631,5.57E-05,0.149443686,0.022333415,-4.04E-05,0.113566935,0.01289745,3.436553288,1.325084508,1.755848953
3,iggy azalea - impossible is nothing.mp3,angry,103.359375,130285,1264.902913,0.343908234,0.311964519,0.097321861,0.383522488,0.291870355,0.085188304,0.226629333,0.178808497,0.031972479,14.83793269,161.66862,26136.7427,-0.479411178,53.07013979,2816.439737,0.010562385,2.897120355,8.393306351,0.222125128,0.120525591,0.014526417,1419.474859,972.7455959,946233.9943,1787.232881,772.8631832,597317.4999,23.4803207,9.028022184,81.50518455,2788.062308,2246.027526,5044639.65,2.029189529,2.556699766,6.536713695,-0.006556101,0.09337403,0.008718709,0.056068822,0.04298066,0.001847337,6.29E-06,0.209310204,0.043810759,0.000109503,0.088969827,0.00791563,4.215582766,2.990658722,8.944039593
4,Hello Saferide - I Dont Sleep Well.mp3,relax,143.5546875,172930,1441.083333,0.248575306,0.307417814,0.094505712,0.4332118,0.280840015,0.078871114,0.242025999,0.157342776,0.024756749,4.765245396,39.38407019,1551.104985,-3.218819807,66.82487025,4465.563283,0.010628886,2.307695755,5.325459696,0.125603452,0.066736981,0.004453824,1335.174651,852.1430044,726147.6999,2004.941605,615.6050833,378969.6186,21.62301058,6.041672688,36.50180887,2624.684129,2158.118782,4657476.678,0.935602446,1.219534838,1.487265221,-0.018137567,0.082595,0.006821934,0.040599717,0.036459585,0.001329301,0.00012018,0.129226834,0.016699575,0.000645695,0.032468278,0.001054189,13.66610431,2.966420547,8.79965086
5,Cinderella Man-Eminem.mp3,angry,86.1328125,105152,1251.809524,0.501425776,0.288222795,0.08307238,0.620511935,0.227503464,0.051757826,0.280614503,0.067740934,0.004588834,11.22467757,85.06737809,7236.458816,4.643244691,24.50922869,600.7022912,0.003620713,3.157887015,9.972250398,0.219087228,0.089592814,0.008026873,2982.575033,875.6569779,766775.143,2637.3111,357.1801198,127577.638,18.15677509,6.792132328,46.13306157,6032.417689,1487.158311,2211639.843,3.122170315,3.748583938,14.05188154,0.004705645,0.04646154,0.002158675,0.160491282,0.095196835,0.009062437,-3.80E-05,0.15173997,0.023025017,6.08E-05,0.130665302,0.017073423,5.80614966,3.213330277,10.32549147
6,i'm sorry for the hating.mp3,sad,129.1992188,163672,1288.755906,0.319963366,0.294854599,0.086939235,0.399124985,0.283777421,0.080529625,0.230290399,0.174067991,0.030299666,20.88465556,105.5847017,11148.12923,4.440282722,35.3533734,1249.861011,0.011635498,2.735098882,7.480765894,0.291016251,0.074976273,0.005621441,2121.99931,893.8030519,798883.8957,2667.952583,643.7661711,414434.883,22.277266,6.026759265,36.32182724,5211.085156,2327.105204,5415418.63,2.816745304,3.139890045,9.858909492,-0.013954561,0.09875794,0.009753131,0.067002807,0.038788837,0.001504574,2.19E-06,0.265491843,0.07048592,-5.62E-06,0.083328038,0.006943563,4.400181406,2.618583994,6.856982134
7,Colbie Caillat - Try.mp3,sad,95.703125,119854,1288.752688,0.263707224,0.302449844,0.091475908,0.43631425,0.279229813,0.077969288,0.245551317,0.151782357,0.023037884,2.524522742,20.10091045,404.0466009,-7.330716876,55.0851202,3034.370468,0.010598497,2.816846767,7.93462571,0.093534581,0.053545326,0.002867102,2290.884879,1286.721036,1655651.023,2462.024056,748.8927361,560840.3301,23.6423024,7.212544504,52.02079822,4887.753778,2654.571761,7046751.237,0.937403782,1.308803289,1.712966049,-0.014243777,0.090220053,0.008139658,0.099170413,0.089293042,0.007973247,-8.91E-06,0.088488169,0.007830156,-0.000100141,0.039046139,0.001524601,2.494984127,1.196615869,1.431889537
8,OneRepublic - Everybody Loves Me.mp3,happy,172.265625,217453,1286.704142,0.463860423,0.295551995,0.087350982,0.619069341,0.235569632,0.055493051,0.274593179,0.089061323,0.007931919,10.42689392,86.62280966,7503.511154,3.536985863,40.15370082,1612.319689,0.014697697,3.083448063,9.507651959,0.191351831,0.099989131,0.009997827,2157.663033,902.5120203,814527.9468,2382.078838,561.622194,315419.4888,18.64469492,7.051369384,49.72181019,4774.062799,1961.747232,3848452.203,2.459090911,3.099786827,9.608678376,0.006547919,0.046670571,0.002178142,0.092593733,0.062755453,0.003938247,-0.000104545,0.127505079,0.016257545,0.000128138,0.116483763,0.013568467,3.003501134,1.413888855,1.999081695
9,fort minor - petrified.mp3,angry,112.3471467,130135,1626.6875,0.421325187,0.329573114,0.108618438,0.44237347,0.291152439,0.084769743,0.240630901,0.159468188,0.025430103,18.71622765,155.5338691,24190.78443,-1.151313916,49.86197256,2486.216308,0.008612422,3.362038614,11.30330364,0.233371019,0.170775071,0.029164126,2120.172987,777.3764328,604314.1183,2135.458848,578.4409342,334593.9143,21.5297997,9.840698744,96.83935176,4328.077995,1729.360544,2990687.89,3.027040588,4.624473773,21.38575768,-0.000557183,0.082965265,0.006883235,0.102815516,0.058626138,0.003437024,-6.31E-05,0.165939957,0.027536068,-0.000156334,0.165024117,0.02723296,14.58677551,6.977133116,48.68038653
10,We Found Love.mp3,happy,172.265625,211157,1295.441718,0.277639851,0.303671931,0.092216642,0.490350093,0.271238023,0.073570065,0.258232387,0.129032428,0.016649368,8.664839365,72.12612514,5202.177928,-6.240291187,32.10221151,1030.551984,0.007304338,3.495505773,12.21856061,0.190573201,0.094603032,0.008949734,2947.543008,721.3104117,520288.71,2541.943105,413.7612368,171198.3611,21.54886652,6.797643492,46.20795705,5751.527721,1529.516031,2339419.29,2.344821076,3.009329915,9.056066536,-0.031100717,0.076510004,0.005853781,0.162705743,0.057293049,0.003282493,-1.01E-06,0.175479963,0.030793216,-8.68E-05,0.078586258,0.0061758,2.302258503,1.284994787,1.651211602
