,song_name,class,genre,artist,title,album,sp_energy,sp_speechiness,sp_valence,sp_danceability,sp_acousticness,sp_instrumentalness,sp_tempo,sp_liveness,sp_loudness
1,Chances-Jill Barber.mp3,relax,Easy Listening,Jill Barber,Chances,Chances,0.261,0.0273,0.374,0.411,0.78,0.000389,99.833,0.106,-10.71
2,Ariana Grande、Jessie J、Nicki Minaj - Bang Bang.mp3,happy,unknown,Jessie J,Bang Bang,Bang Bang,0.789,0.0928,0.761,0.703,0.292,0,150.058,0.377,-3.423
3,Cinderella Man-Eminem.mp3,angry,Rap,Eminem,Cinderella Man,Recovery,0.9,0.209,0.684,0.662,0.268,0,86.032,0.0838,-3.364
4,Colbie Caillat - Try.mp3,sad,unknown,unknown,Colbie Caillat - Try.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,We Found Love.mp3,happy,unknown,Rihanna,We Found Love,We Found Love,0.758,0.057,0.608,0.737,0.0253,0.0019,128.007,0.169,-4.389
6,02 Sugar Rush.mp3,happy,Rock,Cash Cash,Sugar Rush,Take It To The Floor,0.85,0.0792,0.866,0.655,0.0179,0,140.043,0.114,-2.561
7,No Way Out.mp3,sad,Soundtrack,Rie Sinclair,No Way Out,Music From Vampire Diaries Sea,0.442,0.0277,0.102,0.572,0.138,0.487,129.958,0.0881,-8.601
8,all of me.mp3,sad,unknown,John Legend,All Of Me,Love in the Future (Deluxe Edition),0.264,0.0322,0.331,0.422,0.922,0,119.93,0.132,-7.064
9,Beautiful.mp3,relax,unknown,Christina Aguilera,Beautiful,Stripped,0.573,0.0275,0.0992,0.457,0.578,3.05E-06,76.193,0.114,-3.866
10,American Authors - Best Day Of My Life.mp3,happy,unknown,American Authors,Best Day Of My Life,Best Day Of My Life,0.902,0.0347,0.521,0.673,0.0629,0.000174,100.016,0.0552,-2.378
11,Broken Things.mp3,sad,Pop,Jennifer Paige,Broken Things,best kept secret,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,you are not alone.mp3,relax,unknown,Frida Amundsen,You Are Not Alone,September Blue,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,ThePixiesHereComesYourMan.mp3,happy,Pop,Pixies,Here Comes Your Man,unknown,0.788,0.0294,0.869,0.664,0.0451,0.0416,124.51,0.117,-12.323
14,a great big world、christina aguilera - say something.mp3,sad,unknown,unknown,a great big world、christina aguilera - say something.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Cash Cash - Surrender.mp3,happy,unknown,unknown,Cash Cash - Surrender.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Cash Cash - Take Me Home.mp3,angry,unknown,Cash Cash,Take Me Home (feat. Bebe Rexha) [Jordy Dazz Remix Radio Edit],Take Me Home Remixes (feat. Bebe Rexha),0.912,0.0574,0.236,0.615,0.00344,0.000344,128.071,0.398,-5.864
17,Statue.mp3,sad,Indie,Smile Smile,Statue,Marry A Stranger,0.313,0.0307,0.362,0.74,0.223,0.143,120.09,0.195,-10.038
