,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,genre,artist,title,album,sp_energy,sp_speechiness,sp_valence,sp_danceability,sp_acousticness,sp_instrumentalness,sp_tempo,sp_liveness,sp_loudness
1,Chances-Jill Barber.mp3,relax,66.25600962,78562,1227.53125,0.307315382,0.30134367,0.090808008,0.353651097,0.297036651,0.088230772,0.216105341,0.191394396,0.036631815,15.31716055,116.0967028,13478.44439,1.641481932,55.31514399,3059.765154,0.007328187,3.471373483,12.05043386,0.234704182,0.101152711,0.01023187,1101.730894,727.6427255,529463.9359,1564.91904,494.5612553,244590.8352,24.90874265,11.81209727,139.5256418,2010.967007,1574.974217,2480543.783,2.021811901,2.463506,6.068861812,0.022115619,0.107876409,0.01163732,0.042909982,0.043735024,0.001912752,-4.47E-06,0.232470229,0.05404241,-0.000120768,0.063078903,0.003978948,2.205895692,1.37778688,1.898296687,Easy Listening,Jill Barber,Chances,Chances,0.261,0.0273,0.374,0.411,0.78,0.000389,99.833,0.106,-10.71
2,Ariana Grande、Jessie J、Nicki Minaj - Bang Bang.mp3,happy,151.9990809,187790,1286.232877,0.371282628,0.313925017,0.098548916,0.442870624,0.296566379,0.087951617,0.248766015,0.146454099,0.021448803,9.510394586,59.76263321,3571.572329,-0.625206827,34.97965372,1223.576174,0.008479856,3.853162468,14.84686101,0.199368402,0.084998414,0.00722473,2927.606481,810.1673244,656371.0935,2629.034721,425.6822353,181205.3654,19.92614402,7.307468575,53.39909697,5933.484954,1555.18963,2418614.786,2.632951244,3.411260343,11.63669713,0.016868114,0.089553797,0.008019883,0.143821693,0.074406385,0.00553631,5.57E-05,0.149443686,0.022333415,-4.04E-05,0.113566935,0.01289745,3.436553288,1.325084508,1.755848953,unknown,Jessie J,Bang Bang,Bang Bang,0.789,0.0928,0.761,0.703,0.292,0,150.058,0.377,-3.423
4,Hello Saferide - I Dont Sleep Well.mp3,relax,143.5546875,172930,1441.083333,0.248575306,0.307417814,0.094505712,0.4332118,0.280840015,0.078871114,0.242025999,0.157342776,0.024756749,4.765245396,39.38407019,1551.104985,-3.218819807,66.82487025,4465.563283,0.010628886,2.307695755,5.325459696,0.125603452,0.066736981,0.004453824,1335.174651,852.1430044,726147.6999,2004.941605,615.6050833,378969.6186,21.62301058,6.041672688,36.50180887,2624.684129,2158.118782,4657476.678,0.935602446,1.219534838,1.487265221,-0.018137567,0.082595,0.006821934,0.040599717,0.036459585,0.001329301,0.00012018,0.129226834,0.016699575,0.000645695,0.032468278,0.001054189,13.66610431,2.966420547,8.79965086,unknown,Hello Saferide,I Dont Sleep Well,Introducing... Hello Saferide,0.216,0.03,0.341,0.273,0.881,0.0685,152.294,0.0622,-14.824
5,Cinderella Man-Eminem.mp3,angry,86.1328125,105152,1251.809524,0.501425776,0.288222795,0.08307238,0.620511935,0.227503464,0.051757826,0.280614503,0.067740934,0.004588834,11.22467757,85.06737809,7236.458816,4.643244691,24.50922869,600.7022912,0.003620713,3.157887015,9.972250398,0.219087228,0.089592814,0.008026873,2982.575033,875.6569779,766775.143,2637.3111,357.1801198,127577.638,18.15677509,6.792132328,46.13306157,6032.417689,1487.158311,2211639.843,3.122170315,3.748583938,14.05188154,0.004705645,0.04646154,0.002158675,0.160491282,0.095196835,0.009062437,-3.80E-05,0.15173997,0.023025017,6.08E-05,0.130665302,0.017073423,5.80614966,3.213330277,10.32549147,Rap,Eminem,Cinderella Man,Recovery,0.9,0.209,0.684,0.662,0.268,0,86.032,0.0838,-3.364
6,i'm sorry for the hating.mp3,sad,129.1992188,163672,1288.755906,0.319963366,0.294854599,0.086939235,0.399124985,0.283777421,0.080529625,0.230290399,0.174067991,0.030299666,20.88465556,105.5847017,11148.12923,4.440282722,35.3533734,1249.861011,0.011635498,2.735098882,7.480765894,0.291016251,0.074976273,0.005621441,2121.99931,893.8030519,798883.8957,2667.952583,643.7661711,414434.883,22.277266,6.026759265,36.32182724,5211.085156,2327.105204,5415418.63,2.816745304,3.139890045,9.858909492,-0.013954561,0.09875794,0.009753131,0.067002807,0.038788837,0.001504574,2.19E-06,0.265491843,0.07048592,-5.62E-06,0.083328038,0.006943563,4.400181406,2.618583994,6.856982134,Indie,Fine China,I'm Sorry For the Hating,The Jaws of Life,0.533,0.0296,0.328,0.51,0.277,0,127.975,0.673,-5.127
8,OneRepublic - Everybody Loves Me.mp3,happy,172.265625,217453,1286.704142,0.463860423,0.295551995,0.087350982,0.619069341,0.235569632,0.055493051,0.274593179,0.089061323,0.007931919,10.42689392,86.62280966,7503.511154,3.536985863,40.15370082,1612.319689,0.014697697,3.083448063,9.507651959,0.191351831,0.099989131,0.009997827,2157.663033,902.5120203,814527.9468,2382.078838,561.622194,315419.4888,18.64469492,7.051369384,49.72181019,4774.062799,1961.747232,3848452.203,2.459090911,3.099786827,9.608678376,0.006547919,0.046670571,0.002178142,0.092593733,0.062755453,0.003938247,-0.000104545,0.127505079,0.016257545,0.000128138,0.116483763,0.013568467,3.003501134,1.413888855,1.999081695,Rock,OneRepublic,Everybody Loves Me,Everybody Loves Me - Single,0.902,0.0885,0.65,0.575,0.0532,0,170.121,0.0907,-5.697
9,fort minor - petrified.mp3,angry,112.3471467,130135,1626.6875,0.421325187,0.329573114,0.108618438,0.44237347,0.291152439,0.084769743,0.240630901,0.159468188,0.025430103,18.71622765,155.5338691,24190.78443,-1.151313916,49.86197256,2486.216308,0.008612422,3.362038614,11.30330364,0.233371019,0.170775071,0.029164126,2120.172987,777.3764328,604314.1183,2135.458848,578.4409342,334593.9143,21.5297997,9.840698744,96.83935176,4328.077995,1729.360544,2990687.89,3.027040588,4.624473773,21.38575768,-0.000557183,0.082965265,0.006883235,0.102815516,0.058626138,0.003437024,-6.31E-05,0.165939957,0.027536068,-0.000156334,0.165024117,0.02723296,14.58677551,6.977133116,48.68038653,General Hip Hop,Fort Minor,Petrified,The Rising Tied,0.962,0.107,0.525,0.874,0.201,0.000896,109.976,0.0458,-2.729
10,We Found Love.mp3,happy,172.265625,211157,1295.441718,0.277639851,0.303671931,0.092216642,0.490350093,0.271238023,0.073570065,0.258232387,0.129032428,0.016649368,8.664839365,72.12612514,5202.177928,-6.240291187,32.10221151,1030.551984,0.007304338,3.495505773,12.21856061,0.190573201,0.094603032,0.008949734,2947.543008,721.3104117,520288.71,2541.943105,413.7612368,171198.3611,21.54886652,6.797643492,46.20795705,5751.527721,1529.516031,2339419.29,2.344821076,3.009329915,9.056066536,-0.031100717,0.076510004,0.005853781,0.162705743,0.057293049,0.003282493,-1.01E-06,0.175479963,0.030793216,-8.68E-05,0.078586258,0.0061758,2.302258503,1.284994787,1.651211602,unknown,Rihanna,We Found Love,We Found Love,0.758,0.057,0.608,0.737,0.0253,0.0019,128.007,0.169,-4.389
11,02 Sugar Rush.mp3,happy,143.5546875,174619,1274.591241,0.446604724,0.297004317,0.088211564,0.603010186,0.245925688,0.060479444,0.276608813,0.082588727,0.006820898,19.6633691,107.0197021,11453.21663,5.647119831,32.86225513,1079.927812,-0.00101918,4.774379903,22.79470346,0.286769748,0.11053732,0.012218499,2805.048442,1166.238385,1360111.97,2646.784577,473.1831608,223902.3037,18.79897961,6.627226681,43.92013349,5774.615082,1951.32364,3807663.949,3.912030798,4.978231526,24.78278913,0.010783652,0.047833427,0.002288037,0.13880944,0.09866202,0.009734194,-3.25E-05,0.182563618,0.033329476,-0.000161516,0.186333016,0.034719992,2.527492063,1.407046389,1.979779542,Rock,Cash Cash,Sugar Rush,Take It To The Floor,0.85,0.0792,0.866,0.655,0.0179,0,140.043,0.114,-2.561
12,No Way Out.mp3,sad,129.1992188,165440,1282.48062,0.327171814,0.306677208,0.09405091,0.359030504,0.294618696,0.086800176,0.213902528,0.193853145,0.037579042,8.753663539,62.1002337,3856.439025,-2.418082341,61.59217588,3793.59613,0.01321377,3.220447794,10.371284,0.179713398,0.071933344,0.005174406,1175.002489,789.124199,622717.0014,1657.295674,717.2046897,514382.567,24.40839239,6.685721442,44.6988712,2216.382431,1772.22156,3140769.259,1.532926118,1.935435608,3.745910993,0.009133989,0.114763217,0.013170596,0.040779988,0.035161513,0.001236332,-8.19E-06,0.175664052,0.030857857,2.97E-06,0.054673348,0.002989175,6.421478458,3.38753176,11.47537143,Soundtrack,Rie Sinclair,No Way Out,Music From Vampire Diaries Sea,0.442,0.0277,0.102,0.572,0.138,0.487,129.958,0.0881,-8.601
